TimeStamp,VIXY_close,SPY_close,VIXY_log_ret,SPY_log_ret,VIXY_log_ret_mv,SPY_log_ret_mv,relative,relative_mv,z_score,trade,trade_signal,slope,buy_line,sell_line,VIXY_suggest_shares,SPY_suggest_shares,VIXY_shares,SPY_shares,VIXY_value,SPY_value,p_L,rolling_p_L
2017-07-13,40.799999,241.976151,,,,,,,,0,,0.0,,,,,0.0,0.0,,,,
2017-07-14,40.0,243.104752,-0.0198026027864,0.00465325692876,,,-4.25564353947,,,0,,0.0,,,,,0.0,0.0,,,,
2017-07-17,38.93,243.075043,-0.0271142924916,-0.000122214046501,,,221.859051949,,,0,,0.0,,,,,0.0,0.0,,,,
2017-07-18,38.459999,243.203735,-0.0121464474628,0.000529293108508,,,-22.9484330469,,,0,,0.0,,,,,0.0,0.0,,,,
2017-07-19,38.009998,244.520447,-0.0117694837762,0.00539942552583,,,-2.17976592507,,,0,,0.0,,,,,0.0,0.0,,,,
2017-07-20,37.66,244.629349,-0.00925070715442,0.00044527056002,,,-20.7754744756,,,0,,0.0,,,,,0.0,0.0,,,,
2017-07-21,37.310001,244.41156,-0.00933710919347,-0.000890678102342,,,10.4831466822,,,0,,0.0,,,,,0.0,0.0,,,,
2017-07-24,36.650002,244.352158,-0.0178479311326,-0.000243070416665,,,73.4269985525,,,0,,0.0,,,,,0.0,0.0,,,,
2017-07-25,36.799999,244.946152,0.00408433509805,0.00242794336157,,,1.68222008911,,,0,,0.0,,,,,0.0,0.0,,,,
2017-07-26,36.860001,244.956039,0.00162916137038,4.03631589447e-05,,,40.3625834295,,,0,,0.0,,,,,0.0,0.0,,,,
2017-07-27,37.16,244.728348,0.00810593457428,-0.000929950075819,,,-8.71652660186,,,0,,0.0,,,,,0.0,0.0,,,,
2017-07-28,37.540001,244.441254,0.010174143851,-0.00117380160905,,,-8.66768606596,,,0,,0.0,,,,,0.0,0.0,,,,
2017-07-31,37.279999,244.302643,-0.00695009480326,-0.000567213236082,,,12.2530546912,,,0,,0.0,,,,,0.0,0.0,,,,
2017-08-01,36.799999,244.847153,-0.0129591449924,0.00222635368292,,,-5.82079347581,,,0,,0.0,,,,,0.0,0.0,,,,
2017-08-02,37.0,244.965942,0.00542009464325,0.000485038083062,,,11.1745754252,,,0,,0.0,,,,,0.0,0.0,,,,
2017-08-03,37.470001,244.490753,0.0126227268494,-0.0019417004779,,,-6.50086199857,,,0,,0.0,,,,,0.0,0.0,,,,
2017-08-04,37.310001,244.936249,-0.00427922545808,0.00182048036261,,,-2.35060237175,,,0,,0.0,,,,,0.0,0.0,,,,
2017-08-07,36.849998,245.391647,-0.0124058496743,0.00185752487124,,,-6.6786990938,,,0,,0.0,,,,,0.0,0.0,,,,
2017-08-08,37.900002,244.78775,0.0280956004976,-0.00246398485627,,,-11.4025053466,,,0,,0.0,,,,,0.0,0.0,,,,
2017-08-09,38.889999,244.777847,0.0257859575953,-4.04562741419e-05,,,-637.378457166,,,0,,0.0,,,,,0.0,0.0,,,,
2017-08-10,44.189999,241.322739,0.127761374059,-0.0142158486795,,,-8.98724915685,,,0,,0.0,,,,,0.0,0.0,,,,
2017-08-11,45.5,241.679138,0.0292138294438,0.00147576678955,,,19.7956951266,,,0,,0.0,,,,,0.0,0.0,,,,
2017-08-14,39.57,244.074951,-0.13964107056,0.00986438398146,,,-14.1560862616,,,0,,0.0,,,,,0.0,0.0,,,,
2017-08-15,39.290001,244.045242,-0.0071011963752,-0.000121728215561,,,58.3364862653,,,0,,0.0,,,,,0.0,0.0,,,,
2017-08-16,39.060001,244.470947,-0.00587110797197,0.00174284954048,,,-3.36868320277,,,0,,0.0,,,,,0.0,0.0,,,,
2017-08-17,45.529999,240.659439,0.153272476333,-0.0157136577609,,,-9.75409281947,,,0,,0.0,,,,,0.0,0.0,,,,
