,ave_return,sharp_ratio,total_return,volatility
0,1.38746404664,0.0763753245,163.720757503,18.1663915109
1,4.95442548339,0.183128323874,584.62220704,27.0543921256
2,3.30532586335,0.127027821306,396.639103602,26.0204877119
3,-0.2638043261,-0.0114979878797,-31.1289104798,22.9435209761
4,1.30975181097,0.0623087239287,154.550713694,21.0203600456
5,0.214653157552,0.0117435561378,25.7583789063,18.2783779491
6,1.70996954192,0.0709767901664,203.486375489,24.0919536924
7,2.19445735774,0.097421522374,256.751510855,22.5253856054
8,0.910105858872,0.0428512467424,109.212703065,21.2387253128
9,0.442272170128,0.0222987787795,53.0726604154,19.8339189111
10,-1.33294926182,-0.0461583174874,-157.288012894,28.877769693
11,-0.0315360230754,-0.000939800571374,-3.7212507229,33.5560799132
12,0.62936116961,0.0250696760345,74.2646180139,25.1044795611
13,0.494076305684,0.025176562742,58.3010040707,19.6244543287
14,-0.561476376767,-0.0269703051586,-66.2542124585,20.8183175335
15,0.36734581101,0.0228477038589,42.9794598882,16.0780187488
16,0.961068690906,0.0466470379925,113.406105527,20.6029950082
17,1.67671965897,0.0543062416729,201.206359077,30.8752660343
18,2.0665561656,0.0912408822056,243.85362754,22.6494540127
19,3.68082746274,0.218692506714,430.656813141,16.8310634784
20,4.55081903944,0.176470220294,541.547465693,25.7880283248
21,0.0709613270925,0.00382311294556,8.5153592511,18.5611380315
22,-1.57816155201,-0.0856257488501,-186.223063137,18.4309226279
23,-3.26610047212,-0.125532279193,-382.133755238,26.0180130012
24,1.27030904561,0.0608987394738,149.896467382,20.8593651788
25,2.32767141412,0.128948174122,274.665226866,18.0512165447
26,4.60908166143,0.201094714208,543.871636049,22.919954309
27,1.93387506156,0.104203239661,228.197257264,18.558684623
28,-2.45563023128,-0.181762373287,-289.764367291,13.5101131597
29,-2.67508769009,-0.117867911129,-312.985259741,22.695640098
30,1.08626051227,0.0403495664837,128.178740448,26.9212436944
31,-0.689575935742,-0.0262128311066,-81.3699604175,26.3068087891
32,0.384396606465,0.0209516741368,46.1275927758,18.3468205908
33,0.0269701063425,0.00124591100411,3.15550244207,21.6468963301
34,2.84578023328,0.124789072282,341.493627994,22.8047230518
35,-0.364802882411,-0.0143126070912,-43.0467401246,25.4882202862
36,-0.421919194803,-0.0152547981951,-49.7864649868,27.6581302098
37,0.797602718916,0.0276503667268,95.7123262699,28.8460086912
38,1.98371726291,0.0834458962541,234.078637023,23.7724963354
39,0.400348967057,0.0328450144405,47.2411781128,12.1890330657
40,-2.41229990221,-0.141555494251,-289.475988265,17.0413724665
41,-1.13580664215,-0.0443694870799,-134.025183774,25.5988229052
42,-1.15306386174,-0.0455224485799,-136.061535686,25.3295659112
43,0.122675504363,0.00535509402418,14.4757095149,22.9081886909
44,-1.38226354404,-0.0644773413144,-163.107098197,21.4379736488
45,0.306057784427,0.0201149825822,36.1148185624,15.2154138427
46,0.672237099567,0.030456765683,79.3239777489,22.0718478963
47,-0.654075979622,-0.033442294949,-77.1809655954,19.5583461189
48,1.71433312573,0.0850128596885,202.291308837,20.1655741498
49,4.31714586574,0.134995596502,505.106066292,31.9799014013
50,3.84562399394,0.146069856465,449.938007291,26.3272935773
51,2.52135768148,0.0887310492494,294.998848733,28.415731616
52,-1.28945104194,-0.0936684346102,-150.865771907,13.7661213973
53,0.615482729933,0.0354938996926,72.6269621321,17.3405214773
54,2.07268858091,0.100931349926,244.577252547,20.5356272598
55,2.84835720288,0.117950762094,341.802864346,24.1486968995
56,2.80616786321,0.0923550615284,331.127807859,30.3845595117
57,4.03290927239,0.142487934998,483.949112687,28.3035140656
58,2.61966466442,0.124366867929,309.120430402,21.0640077059
59,0.827433274066,0.0510198368119,99.2919928879,16.2178737873
60,-1.51979027032,-0.0971175908226,-179.335251898,15.6489700522
61,-1.82893569852,-0.136205359824,-215.814412425,13.4277806753
62,-0.968215782933,-0.0560594521419,-116.185893952,17.2712316289
63,1.34619500981,0.0698759253759,160.197206168,19.2655052877
64,0.166539710242,0.00573009723974,19.6516858085,29.0640286323
65,-1.75572898326,-0.0263947828783,-207.176020024,66.518030906
66,1.01136838405,0.0630580580369,121.364206086,16.0386858641
67,1.26574013816,0.0850406634356,151.88881658,14.8839400709
68,0.734180669893,0.0407344995742,86.6333190474,18.023559331
69,1.0812246803,0.059140669403,127.584512276,18.2822529947
70,2.71188971699,0.138078022862,320.002986605,19.6402704846
71,3.34337571915,0.161329949821,401.205086298,20.723837842
72,1.63993238381,0.0960032252332,193.512021289,17.0820551062
73,-0.532166516665,-0.0307486747085,-62.7956489665,17.306974096
74,-0.934118852119,-0.038506832363,-42.0353483453,24.258522314
75,-1.7803351104,-0.0551022304329,-74.7740746369,32.3096741532
76,-0.802664777507,-0.0293984447892,-96.3197733008,27.3029673257
77,0.273520711103,0.0177468377329,32.0019231991,15.4123633303
78,1.55576878492,0.0791384917757,183.58071662,19.6588126714
79,-0.731097698035,-0.047035392642,-86.2695283682,15.5435653232
80,-0.509975892194,-0.0222647437865,-60.1771552789,22.905086943
81,0.373745816916,0.0127780256516,44.1020063961,29.2491052301
82,0.206823880582,0.0170003911877,24.4052179087,12.1658306741
83,2.02337671073,0.0970571919615,111.28571909,20.8472620095
84,0.937216129086,0.0401879692311,51.5468870997,23.3208133433
85,0.944999405877,0.0386678375128,113.399928705,24.438899785
86,0.717572362132,0.0262851676162,86.1086834559,27.2995163131
87,2.14936556256,0.103515015732,253.625136383,20.7638046264
88,2.99460525963,0.128211497423,353.363420636,23.3567606635
