,ave_return,pairs,sharp_ratio,total_return,volatility
68,1.282095848,"('MLPB', 'JDD')",0.076797545,148.7231184,16.69448997
69,0.715085418,"('JDD', 'HNNA')",0.062839739,85.81025012,11.37950972
70,-1.033050106,"('ANDA', 'AMEH')",-0.155953483,-18.5949019,6.624091282
71,-0.775558123,"('AMEH', 'NBD')",-0.026542888,-91.5158585,29.21905605
72,0.34269542,"('NBD', 'LGI')",0.059743161,40.43805951,5.736144708
73,1.030834239,"('LGI', 'JMLP')",0.089320086,120.6076059,11.54090059
74,0.165402862,"('JMLP', 'GDO')",0.012332464,19.35213484,13.41198849
75,-0.481098856,"('AMUB', 'MLPZ')",-0.30501436,-4.3298897,1.577299035
76,0.433943903,"('MLPZ', 'MLPQ')",0.013001759,51.2053805,33.37578485
77,0.443824316,"('MLPQ', 'KMF')",0.015183508,53.25891786,29.23068276
78,1.276528626,"('KMF', 'BST')",0.072623528,149.3538492,17.57734258
79,1.382877814,"('BST', 'NRK')",0.109207479,160.4138265,12.66284897
80,-0.656076556,"('NRK', 'NAN')",-0.129102434,-76.10488053,5.081829486
81,-0.302297288,"('NAN', 'ASPU')",-0.038712953,-35.36878267,7.808685851
82,0.930524937,"('ASPU', 'AFT')",0.044768829,109.8019425,20.78510763
83,1.615429512,"('AFT', 'BA')",0.157011056,193.8515414,10.2886354
84,3.01715941,"('BA', 'IBM')",0.152657892,359.0419698,19.76418891
85,1.192546327,"('IBM', 'BP')",0.074223715,140.7204666,16.06691778
86,1.542042501,"('BP', 'BAX')",0.109764789,181.9610152,14.04860803
87,0.227658984,"('BAX', 'BIDU')",0.011445428,26.86376006,19.89082348
88,0.120763173,"('BIDU', 'BBY')",0.004814063,14.25005436,25.08549888
89,0.58246917,"('BBY', 'BX')",0.02768031,68.7313621,21.04272597
90,1.017613523,"('BX', 'BSX')",0.068668915,120.0783957,14.8191293
91,-0.074954811,"('BSX', 'BIIB')",-0.003406096,-8.844667682,22.00607849
92,1.618156101,"('BIIB', 'BMY')",0.077980501,194.1787322,20.75077838
93,0.185497026,"('BMY', 'BBBY')",0.008887518,21.88864912,20.87163372
94,-0.98059853,"('BBBY', 'USB')",-0.043022779,-113.7494295,22.792543
95,1.976678938,"('USB', 'BLK')",0.118045269,233.2481147,16.74509239
96,1.870410292,"('BLK', 'YUM')",0.09907727,220.7084144,18.87829869
97,2.325044955,"('YUM', 'BTU')",0.129279947,274.3553047,17.98457546
98,3.282529457,"('BTU', 'MNST')",0.195006855,393.9035348,16.83289263
99,1.058733081,"('MNST', 'BK')",0.072211498,127.0479697,14.66155821
100,1.266516627,"('BK', 'FITB')",0.07020834,149.4489619,18.03940418
101,1.950447914,"('FITB', 'ZBH')",0.106162987,230.1528539,18.37220261
102,2.618716847,"('ZBH', 'PBR')",0.115337849,309.0085879,22.70474835
103,2.768589725,"('PBR', 'BHP')",0.102706052,326.6935875,26.9564419
104,-1.043041895,"('BHP', 'BEN')",-0.058248558,-123.0789436,17.90674191
105,1.398847435,"('BEN', 'LB')",0.062363977,165.0639974,22.43037586
106,0.127419519,"('LB', 'BMO')",0.006568973,15.29034225,19.39717545
107,0.34946896,"('BMO', 'BBT')",0.029346766,40.88786834,11.90826124
108,1.444858485,"('BBT', 'BPT')",0.083309846,170.4933012,17.34319
109,-0.31945134,"('BPT', 'HRB')",-0.012273862,-38.3341608,26.02696121
110,-0.20231314,"('HRB', 'STI')",-0.008685876,-23.87295047,23.29219693
111,-0.706234168,"('STI', 'TAP')",-0.041972894,-84.74810021,16.82595839
112,-0.090989809,"('TAP', 'CNBKA')",-0.006657804,-10.64580767,13.66663973
