,ADXR,APO,AROONOSC,CCI,Close,Earnings_date,High,Industry,Industry_weight,Low,MACD,MACD_hist,MACD_signal,MFI,Market_cap,Open,ROCP,RSI,Return,Sector,Technical_points,TimeStamp,Volume,0
0,22.1767164133,-0.0163460448718,71.4285714286,30.5464327952,19.1,Feb 01,19.290001,Foreign Regional Banks,1.0,19.059999,0.130372170953,0.0637300420614,0.0666421288918,61.125431529,40180000000.0,19.280001,0.0213903197117,51.4139373269,-0.0214659685864,Financial,2.0,2018-01-29,3566000.0,
1,,,,,,,,,,,,,,,,,,,,,,,,
AAPL,15.8863193969,1.29166683333,-50.0,-187.255323997,167.960007,Feb 01 AMC,170.160004,Electronic Equipment,1.0,167.070007,-0.240927569783,-0.921608409248,0.680680839465,37.9892157428,8.9851e+11,170.160004,-0.0515556451873,34.6324501138,-0.0211359124318,Consumer Goods,2.0,2018-01-29,50500600.0,
A,36.2696132784,2.38505419231,100.0,117.799874602,74.529999,Nov 20 AMC,75.0,Medical Laboratories & Research,1.0,74.300003,1.63108593638,0.266099755588,1.36498618079,76.8038350545,23690000000.0,74.480003,0.0390352137585,74.5170202912,-0.00389106405328,Healthcare,4.0,2018-01-29,1292300.0,
WBA,30.4825457148,2.0244226859,92.8571428571,179.973107899,80.269997,Jan 04 BMO,80.68,Drug Stores,0.96992481203,79.089996,1.76026584765,0.34692789265,1.413337955,79.8367460628,76110000000.0,79.150002,0.0552122650191,74.3318288584,0.0139528471641,Services,3.0,2018-01-29,6217800.0,
APA,27.6883739407,1.70071707692,71.4285714286,33.6650023094,46.650002,Feb 22 BMO,47.950001,Independent Oil & Gas,0.355789473684,46.580002,1.29770137791,0.0205719153225,1.27712946258,47.6496706776,18590000000.0,47.689999,-0.00549024787829,56.3296300646,-0.0306538036161,Basic Materials,2.0,2018-01-29,3131900.0,
EA,20.4315969386,3.44910255128,64.2857142857,109.205492632,117.650002,Jan 30 AMC,119.410004,Multimedia & Graphics Software,0.403346994536,115.209999,2.07803597964,0.284211792355,1.79382418728,64.2081433368,35430000000.0,115.209999,0.0399540804372,63.9570162002,0.0208245215329,Technology,3.0,2018-01-29,6226200.0,
