,ADXR,APO,AROONOSC,CCI,Close,Earnings_date,High,Industry,Industry_weight,Low,MACD,MACD_hist,MACD_signal,MFI,Market_cap,Open,ROCP,RSI,Return,Sector,Technical_points,TimeStamp,Volume
BX,26.5087135966,0.106683333333,100.0,183.677332682,36.555,Feb 01 BMO,36.565,Asset Management,0.165395560615,36.32,0.0357280895599,0.0246416114408,0.011086478119,66.9772597293,43590000000.0,36.33,0.00563961485557,64.6427498211,0.00642866912871,Financial,4.0,2018-01-29T20:50:00Z,160487.0
CPST,18.6101354002,0.00224743589744,28.5714285714,173.510288893,0.7499,Feb 05 AMC,0.7499,Industrial Electrical Equipment,0.00061021236644,0.745,0.00205291934008,0.00170365047773,0.000349268862352,92.0738641255,36020000.0,0.7499,0.0152992147306,65.3383926057,0.0,Industrial Goods,3.0,2018-01-29T20:50:00Z,27310.0
CNP,28.6464629452,0.0238833333333,-57.1428571429,-114.193454639,27.73,Feb 22 BMO,27.77,Gas Utilities,0.329176837559,27.7207,-0.034564463599,0.00273354890712,-0.0372980125061,52.4626759594,12250000000.0,27.73,-0.00287666307084,37.1418268515,0.0,Utilities,3.0,2018-01-29T20:50:00Z,134313.0
HAS,18.8886548467,0.179936538461,92.8571428571,65.2397605391,94.2,Feb 05 BMO,94.41,Toys & Games,0.670506912442,94.19,0.149166244128,0.000387486222758,0.148778757905,59.4386050862,11640000000.0,94.33,0.000265463233342,57.1039594014,-0.0015923566879,Consumer Goods,3.0,2018-01-29T20:50:00Z,54599.0
ONVO,32.8336578465,0.0296288461538,100.0,86.2058295687,1.485,Feb 08 AMC,1.5,Medical Laboratories & Research,0.00121796196988,1.48,0.0193640474216,0.00140368685075,0.0179603605709,73.2073550924,142340000.0,1.5,0.0133751876621,67.7676433047,-0.003367003367,Healthcare,4.0,2018-01-29T20:50:00Z,137112.0
VIPS,20.4462188137,0.106332692308,100.0,82.4590347581,17.28,Nov 20 AMC,17.3,Catalog & Mail Order Houses,0.0143539970473,17.21,0.0245439504924,0.0159644645699,0.00857948592253,68.6683221812,9820000000.0,17.22,0.00290191526407,59.0363312596,0.00376157407407,Services,4.0,2018-01-29T20:50:00Z,427563.0
LTBR,32.9957058127,0.00991987179487,21.4285714286,45.6231365534,2.57,Feb 13 AMC,2.5898,Synthetics,1.0,2.55,-0.0160176234838,0.0109761147464,-0.0269937382303,65.7634397023,39660000.0,2.56,0.0157701276629,46.6481169639,0.0056420233463,Basic Materials,3.0,2018-01-29T20:50:00Z,55237.0
CAVM,8.70979998491,0.00246153846159,92.8571428571,302.54841998,89.42,Jan 31 AMC,89.47,Semiconductor - Broad Line,0.0105850893408,89.17,0.0383896788445,0.0120687197583,0.0263209590862,29.3723071201,6110000000.0,89.199,0.00314112631815,65.4891725054,0.00223663609931,Technology,4.0,2018-01-29T20:50:00Z,31811.0
