,ADXR,APO,AROONOSC,CCI,Close,Earnings_date,High,Industry,Industry_weight,Low,MACD,MACD_hist,MACD_signal,MFI,Market_cap,Open,ROCP,RSI,Return,Sector,Technical_points,TimeStamp,Volume
AXP,19.8293911913,0.178248717949,85.7142857143,55.6295949749,99.6,Jan 18 AMC,99.8,Credit Services,1.0,99.6,0.0894347042409,0.0356874395906,0.0537472646504,48.1587158746,87800000000.0,99.75,0.0029201490283,54.7716078308,-0.00145582329317,Financial,4.0,2018-01-26T20:50:00Z,147984.0
ABB,34.5191333801,0.0328666666666,64.2857142857,145.874125874,28.6,Feb 08 BMO,28.6,Diversified Machinery,1.0,28.56,0.0370140482577,0.00252027363589,0.0344937746218,73.5532949578,61050000000.0,28.58,0.0021023125438,72.3025325064,0.00104895104895,Industrial Goods,5.0,2018-01-26T20:50:00Z,38355.0
AES,43.8803775395,0.0351192307692,78.5714285714,106.4160751,11.725,Feb 26 BMO,11.73,Electric Utilities,0.134858188472,11.7,0.0403144326765,0.00558714241434,0.0347272902622,63.4105707867,7370000000.0,11.7225,0.00643776824034,71.0469462783,0.0,Utilities,5.0,2018-01-26T20:50:00Z,468718.0
AVP,24.3595020224,0.0118141025641,42.8571428571,147.619047619,2.44,Feb 15 BMO,2.44,Personal Products,1.0,2.43,0.0145505385435,0.00279171632404,0.0117588222195,42.6111351876,1050000000.0,2.43,0.014553014553,68.1991267143,0.00204918032787,Consumer Goods,4.0,2018-01-26T20:50:00Z,148372.0
BDX,44.1768550167,0.774986538462,64.2857142857,128.55980654,246.28,Feb 06 BMO,246.32,Medical Instruments & Supplies,1.0,245.66,0.808727116562,0.131656249435,0.677070867127,54.9921798489,54190000000.0,245.91,0.0094270022133,78.7858475148,0.00125872990093,Healthcare,4.0,2018-01-26T20:50:00Z,37586.0
AAL,15.2622545814,0.00784038461537,85.7142857143,164.034287191,53.07,Jan 25 BMO,53.19,Major Airlines,0.376931883228,52.99,0.0220067380243,0.0872554618774,-0.0652487238532,81.3891862588,26340000000.0,53.03,0.0108571428571,66.2736015357,0.000659506312418,Services,4.0,2018-01-26T20:50:00Z,557109.0
PAAS,30.3859538624,0.00226987179488,64.2857142857,105.988909427,16.83,Feb 13 AMC,16.83,Silver,0.69109947644,16.81,-0.0126183900848,0.0147557033184,-0.0273740934032,72.145462786,2640000000.0,16.815,0.00297973778307,51.4665217717,0.000891265597148,Basic Materials,4.0,2018-01-26T20:50:00Z,68333.0
ADI,14.9873951424,0.279449358974,100.0,183.861090366,93.79,Feb 20 BMO,94.0,Semiconductor - Integrated Circuits,0.93503419253,93.69,0.140847854786,0.0474830205708,0.0933648342149,83.136170855,35550000000.0,93.755,0.00235118093406,64.5660148269,0.000426484699861,Technology,4.0,2018-01-26T20:50:00Z,226860.0
