,ADXR,APO,AROONOSC,CCI,Close,Earnings_date,High,Industry,Industry_weight,Low,MACD,MACD_hist,MACD_signal,MFI,Market_cap,Open,ROCP,RSI,Return,Sector,Technical_points,TimeStamp,Volume,0
0,36.7249561348,0.0211423076923,85.7142857143,180.399826163,19.11,Jan 31 AMC,19.11,REIT - Residential,1.0,19.09,0.00496117459653,0.00897905839715,-0.00401788380062,77.1543585105,7600000000.0,19.105,0.00262329485834,60.4247294212,0.0,Financial,3.0,2018-01-30T20:50:00Z,413689.0,
1,,,,,,,,,,,,,,,,,,,,,,,,
ADM,22.8951893157,-0.0555564102564,-78.5714285714,-69.7081085354,42.49,Feb 06 BMO,42.61,Farm Products,1.0,42.48,-0.0678225736634,-0.00260304029308,-0.0652195333703,38.8768689448,23680000000.0,42.57,-0.00491803278689,36.7729210392,-0.00164744645799,Consumer Goods,0.0,2018-01-30T20:50:00Z,83630.0,
NVS,40.4468254282,-0.0493576923077,92.8571428571,4.22891036903,91.68,Jan 24 BMO,91.795,Drug Manufacturers - Major,0.401379029245,91.665,-0.0954724794691,0.031067250338,-0.126539729807,45.6387102884,2.3634e+11,91.76,-0.000817394147458,36.6510779606,-0.000927137870855,Healthcare,2.0,2018-01-30T20:50:00Z,41271.0,
RAD,32.9808764369,-0.000124358974361,57.1428571429,59.5644891122,2.08,Jan 03 AMC,2.08,Drug Stores,0.0300751879699,2.07,-0.00867997869043,0.00444775753163,-0.0131277362221,70.6729909143,2360000000.0,2.07,0.0048309178744,47.678813036,0.00240384615385,Services,2.0,2018-01-30T20:50:00Z,582976.0,
APC,16.3251436287,0.103469871795,-78.5714285714,-178.205255112,59.74,Feb 06 AMC,59.905,Independent Oil & Gas,0.644210526316,59.73,-0.0276300478328,0.00312226058183,-0.0307523084146,43.6431885448,33660000000.0,59.9,-0.00499666888741,43.294724729,-0.00267827251423,Basic Materials,3.0,2018-01-30T20:50:00Z,113227.0,
AVGO,24.0150221862,0.290894871795,-71.4285714286,-144.937628132,240.96,Dec 06 AMC,242.15,Semiconductor - Broad Line,0.897277646263,240.85,-0.256469644112,0.100348402307,-0.356818046419,54.3291957514,1.0613e+11,242.15,-0.00555085532696,39.7795398489,-0.00477257636122,Technology,3.0,2018-01-30T20:50:00Z,162564.0,
