,ADXR,APO,AROONOSC,CCI,Close,Earnings_date,High,Industry,Industry_weight,Low,MACD,MACD_hist,MACD_signal,MFI,Market_cap,Open,ROCP,RSI,Return,Sector,Technical_points,TimeStamp,Volume
OAK,32.1300682116,1.38942336538,100.0,122.263769769,45.700001,Feb 06 BMO,46.049999,Asset Management,0.0147915299619,45.150002,0.679558667452,0.284299919551,0.395258747901,76.4251543578,6960000000.0,45.650002,0.0189521301651,68.1132974436,0.00109406999794,Financial,4.0,2018-01-18,238100.0
IEP,19.8213556913,1.76538471154,78.5714285714,40.8366824201,55.810001,Feb 02 BMO,55.900002,Conglomerates,0.589109969454,55.580002,0.816106745091,0.149786761777,0.666319983314,62.8402404256,9560000000.0,55.73,0.0202925041994,62.5146017808,-0.00161263211588,Conglomerates,4.0,2018-01-18,48700.0
TECH,18.5361315863,4.73230820513,100.0,99.2135033201,140.020004,Jan 30 BMO,141.830002,Biotechnology,0.00679801236151,139.389999,3.00005990203,0.677603676784,2.32245622524,75.0769290531,5150000000.0,140.919998,0.0411182897941,76.963534657,-0.00464215098865,Healthcare,4.0,2018-01-18,186900.0
EDN,28.5204338993,1.45198685897,100.0,158.870343663,57.299999,Feb 15 BMO,58.970001,Electric Utilities,0.0019331087595,56.84,2.2117893508,0.578449589338,1.63333976146,86.1465390345,1110000000.0,57.990002,0.128397009224,78.7635473888,0.000872582912261,Utilities,4.0,2018-01-18,83500.0
PCAR,22.1165476139,2.40527523718,100.0,108.806490424,76.400002,Jan 30 BMO,77.43,Trucks & Other Vehicles,0.643891600284,76.260002,1.68423561881,0.224217286543,1.46001833227,63.3263481214,26220000000.0,76.400002,0.0336895936307,70.9075907411,-0.00183244759601,Consumer Goods,4.0,2018-01-18,1671400.0
LAYN,21.3930249807,0.395384615385,100.0,100.248979185,13.33,Dec 05 AMC,13.72,Heavy Construction,0.0114262818299,13.21,0.193146902333,0.047704504644,0.145442397689,79.0778439074,264640000.0,13.27,0.0397815912637,61.7473231169,0.00450112528132,Industrial Goods,4.0,2018-01-18,230300.0
RYAAY,27.9254586057,2.09102557051,100.0,155.728967162,119.349998,Jan 30 BMO,120.68,Regional Airlines,0.283812795191,118.550003,1.30562350513,1.64900631835,-0.343382813214,90.4911190882,26440000000.0,120.059998,0.112613045006,68.6130480979,0.0165060832259,Services,4.0,2018-01-18,343200.0
UGP,25.4456817087,0.990961698718,100.0,137.186692495,24.540001,Feb 07 AMC,24.73,Oil & Gas Refining & Marketing,0.0698643179817,24.379999,0.515698898218,0.110689457072,0.405009441146,70.1625882037,13180000000.0,24.42,0.0358801166788,73.5917647814,0.00814999966789,Basic Materials,4.0,2018-01-18,406100.0
MSCI,24.2617327344,3.26788545513,100.0,96.8627223628,136.820007,Feb 01 BMO,137.710007,Processing Systems & Products,0.681299885975,135.320007,2.37574629276,0.567881619182,1.80786467358,90.3617243706,11950000000.0,136.080002,0.0555470782112,72.6424900144,0.0074550792853,Technology,4.0,2018-01-18,306000.0
