,ADXR,APO,AROONOSC,CCI,Close,Earnings_date,High,Industry,Industry_weight,Low,MACD,MACD_hist,MACD_signal,MFI,Market_cap,Open,ROCP,RSI,Return,Sector,Technical_points,TimeStamp,Volume
ENVA,24.6606288467,0.107122435897,100.0,140.962111846,16.2,Feb 01 AMC,16.2,Credit Services,0.000617417026143,16.1,0.0577472074588,0.0370448248719,0.0207023825869,82.0869379818,510900000.0,16.1,0.0210706114448,68.7688196709,0.00617283950617,Financial,4.0,2018-01-19T19:50:00Z,2074.0
IEP,28.491646823,0.011973076923,71.4285714286,169.056909798,56.2564,Feb 02 BMO,56.2564,Conglomerates,0.589109969454,56.2,0.0556476260337,-0.00721266571996,0.0628602917537,93.3005999779,9560000000.0,56.24,0.00260916057744,65.7578695798,0.00100255259846,Conglomerates,3.0,2018-01-19T19:50:00Z,1118.0
AGN,26.9014018386,0.230851923077,100.0,166.672222253,180.93,Jan 31 BMO,180.971,Drugs - Generic,0.38532694972,180.4716,0.273971502357,0.0660791541206,0.207892348237,60.5459630528,58580000000.0,180.5235,0.00445685049232,64.5552542929,0.00226606975073,Healthcare,4.0,2018-01-19T19:40:00Z,18796.0
PEGI,15.4361771819,0.00284487179487,100.0,134.477958237,21.34,Feb 08 BMO,21.34,Diversified Utilities,0.0105791232684,21.32,0.0170135037193,0.00311647531033,0.013897028409,72.5080921834,2110000000.0,21.33,0.00211317210613,59.9989044875,0.000937207122774,Utilities,4.0,2018-01-19T19:50:00Z,6725.0
SJM,39.1283460109,0.351538461538,100.0,130.38174294,127.22,Feb 15 BMO,127.3,Processed & Packaged Goods,0.0972247942166,127.21,0.303157293723,0.0789647181229,0.2241925756,90.4752021151,14270000000.0,127.23,0.00636791519994,76.7031134532,7.86039930829e-05,Consumer Goods,4.0,2018-01-19T19:50:00Z,3533.0
BGC,75.5087220428,0.0133012820513,57.1428571429,33.9031339031,29.65,Jan 31 AMC,29.7,Industrial Equipment & Components,0.0256884593902,29.65,0.00834322700531,0.00104320108673,0.00730002591858,23.0674852653,1480000000.0,29.7,0.00084388185654,49.7245157614,-0.000843170320405,Industrial Goods,4.0,2018-01-19T19:50:00Z,3400.0
LFUS,50.229211447,1.28173141026,100.0,164.773193382,218.89,Jan 31 BMO,218.89,Electronics Wholesale,0.192165447824,218.52,1.29915953706,0.156708061316,1.14245147575,94.0498493828,4640000000.0,218.52,0.0121144865215,82.246789141,0.000365480378272,Services,4.0,2018-01-19T20:00:00Z,1300.0
RSPP,20.4034453066,0.10733974359,100.0,163.543177642,41.35,Feb 05 AMC,41.35,Oil & Gas Drilling & Exploration,0.028569243684,41.205,0.0780429085613,0.0472311926163,0.0308117159449,87.3954522373,6650000000.0,41.21,0.0105083088954,72.870973904,0.00362756952842,Basic Materials,4.0,2018-01-19T20:00:00Z,8286.0
BMI,18.3994150225,0.123435897436,100.0,89.305650274,49.8,Feb 06 BMO,49.8,Scientific & Technical Instruments,0.0148116947087,49.8,0.0611923793485,0.0262420598359,0.0349503195125,28.0034383162,1370000000.0,49.8,0.00403225806452,61.9787031889,0.00100401606426,Technology,4.0,2018-01-19T19:50:00Z,709.0
