,ADXR,APO,AROONOSC,CCI,Close,Earnings_date,High,Industry,Industry_weight,Low,MACD,MACD_hist,MACD_signal,MFI,Market_cap,Open,ROCP,RSI,Return,Sector,Technical_points,TimeStamp,Volume,0
0,29.8590054751,0.0164365384616,28.5714285714,107.882069795,100.755,Feb 07 AMC,100.845,Property & Casualty Insurance,1.0,100.73,0.0520490663579,-0.0134713685385,0.0655204348964,54.6794317305,35940000000.0,100.76,0.000595858781469,55.4973375984,-0.000148875986303,Financial,3.0,2018-01-25T20:50:00Z,42533.0,
1,,,,,,,,,,,,,,,,,,,,,,,,
ADM,16.1256636086,0.0134480769231,-71.4285714286,-116.134109869,42.895,Feb 06 BMO,42.98,Farm Products,1.0,42.89,-0.000391357869155,-0.0033506295643,0.00295927169515,44.3993735002,23680000000.0,42.965,-0.00174540377007,45.4862330946,-0.00163189182888,Consumer Goods,2.0,2018-01-25T20:50:00Z,112348.0,
ARNA,25.6912821514,-0.148638461539,-35.7142857143,88.8832223639,38.19,Feb 06 AMC,38.2,Biotechnology,0.0305805361944,38.07,-0.0204437160354,0.00559836793777,-0.0260420839731,56.1941179957,1430000000.0,38.08,0.00420720483829,53.7647524835,0.00327310814349,Healthcare,2.0,2018-01-25T20:50:00Z,13856.0,
ANF,32.5197707997,-0.0568128205128,-21.4285714286,69.4854624224,21.5114,Feb 16 BMO,21.54,Apparel Stores,0.321199143469,21.45,-0.0446385807371,0.0266550868039,-0.071293667541,62.4289013652,1500000000.0,21.5,0.000530232558139,52.4759967973,0.000762386455554,Services,3.0,2018-01-25T20:50:00Z,59412.0,
AKS,14.1344301321,-0.016691025641,35.7142857143,88.303771437,6.285,Jan 30 BMO,6.29,Steel & Iron,1.0,6.26,-0.00962136759824,0.00533912231165,-0.0149604899099,68.9482227803,2010000000.0,6.28,0.001497864746,54.8797212674,0.00079554494829,Basic Materials,3.0,2018-01-25T20:50:00Z,188066.0,
ATVI,16.2061175051,-0.101261538462,42.8571428571,58.7045968555,70.82,Feb 08 AMC,71.0036,Multimedia & Graphics Software,0.596653005464,70.8,0.0281430151882,0.00350229032839,0.0246407248598,53.3931029607,52410000000.0,70.94,0.000847936687394,52.1362226793,-0.00190624117481,Technology,3.0,2018-01-25T20:50:00Z,220597.0,
