,ADXR,APO,AROONOSC,CCI,Close,Earnings_date,High,Industry,Industry_weight,Low,MACD,MACD_hist,MACD_signal,MFI,Market_cap,Open,ROCP,RSI,Return,Sector,Technical_points,TimeStamp,Volume
UDR,15.753642218,0.03875,100.0,140.111309879,35.97,Jan 29 AMC,35.99,REIT - Residential,0.0669052548604,35.92,0.0242056194184,0.0107355122846,0.0134701071338,88.3724806169,9900000000.0,35.94,0.00194986072423,61.7037787963,0.000973033083125,Financial,4.0,2018-01-19T20:50:00Z,124456.0
IEP,36.4281908634,0.0762794871794,71.4285714286,120.038378945,56.55,Feb 02 BMO,56.55,Conglomerates,0.589109969454,56.43,0.107795301042,0.0233174836647,0.0844778173772,66.9294299331,9560000000.0,56.48,0.00684046163324,80.7304657398,0.00201591511936,Conglomerates,3.0,2018-01-19T20:50:00Z,1300.0
ENSG,29.4801785198,0.0125,100.0,243.777005984,23.88,Feb 07 AMC,23.9,Long-Term Care Facilities,0.128468933381,23.8,0.0483500918362,0.000658381687274,0.0476917101489,93.9440836552,1180000000.0,23.86,0.0050505050505,66.0179447584,0.00335008375209,Healthcare,4.0,2018-01-19T20:50:00Z,8078.0
EDN,30.0956667638,1.00731666667,100.0,76.1806811599,58.59,Feb 15 BMO,58.59,Electric Utilities,0.0019331087595,58.38,0.42047033549,0.0648992334591,0.355571102031,93.3392591982,1110000000.0,58.46,0.00808671713696,69.5157918867,0.00213346987541,Utilities,4.0,2018-01-19T20:50:00Z,900.0
WEYS,26.9212875451,0.0705320512821,100.0,69.7054844417,32.25,Jan 26 AMC,32.27,Textile - Apparel Footwear & Accessories,0.00248109681558,32.25,0.0647395634439,0.00177299203365,0.0629665714103,72.7161216443,316700000.0,32.25,0.00435688459394,61.6247612652,0.0,Consumer Goods,4.0,2018-01-19T20:50:00Z,1696.0
RAVN,31.2485421133,0.132506410256,100.0,237.333333333,36.55,Nov 20 AMC,36.65,Diversified Machinery,0.0013803491137,36.45,0.115392398584,0.00702990480147,0.108362493783,90.152434882,1250000000.0,36.45,0.00550206327373,69.1382660173,0.00273597811217,Industrial Goods,4.0,2018-01-19T20:50:00Z,8720.0
AYR,17.4313855517,0.0511903846154,100.0,154.944954825,24.25,Feb 01 BMO,24.25,Rental & Leasing Services,0.0279078846713,24.2,0.0426245740249,0.016151749991,0.0264728240338,86.2433064929,1850000000.0,24.2,0.00705980066445,67.1341347086,0.00164948453608,Services,4.0,2018-01-19T20:50:00Z,8990.0
HWKN,17.7437173173,0.0362743589744,-64.2857142857,10.4166666667,35.7,Jan 31 AMC,35.75,Specialty Chemicals,0.00156021974993,35.65,0.0145409279816,0.0079608347136,0.00658009326805,6.82798008241,369250000.0,35.75,0.000700770847933,51.3097554283,-0.00140056022409,Basic Materials,4.0,2018-01-19T20:50:00Z,1200.0
MSCI,15.0098545934,0.138006410257,100.0,143.572701271,138.27,Feb 01 BMO,138.28,Processing Systems & Products,0.681299885975,138.1,0.132351589804,0.0152437097681,0.117107880036,61.5824446225,11950000000.0,138.14,0.00124549233153,65.0607842094,0.00101251175237,Technology,4.0,2018-01-19T20:50:00Z,6984.0
