,ADXR,APO,AROONOSC,CCI,Close,Earnings_date,High,Industry,Industry_weight,Low,MACD,MACD_hist,MACD_signal,MFI,Market_cap,Open,ROCP,RSI,Return,Sector,Technical_points,TimeStamp,Volume,0
0,53.861802789,-0.00615641025641,-92.8571428571,-102.700501747,10.505,Feb 14 AMC,10.51,REIT - Diversified,1.0,10.48,-0.0290717551469,0.00655260314573,-0.0356243582926,63.7855755679,12760000000.0,10.49,-0.00191920343556,39.8717838264,0.00178010471204,Financial,3.0,2018-01-29T20:50:00Z,1705590.0,
1,,,,,,,,,,,,,,,,,,,,,,,,
AAPL,21.1780886257,-0.324808333334,-21.4285714286,-67.4020501362,167.96,Feb 01 AMC,168.35,Electronic Equipment,1.0,167.81,-0.263746595496,-9.8349511217e-05,-0.263648245985,46.9091532978,8.9851e+11,167.81,-0.00196090082596,39.9040459999,0.000893069778519,Consumer Goods,2.0,2018-01-29T20:50:00Z,1255852.0,
AZN,26.1512961894,0.0176474358975,-64.2857142857,-158.417408506,36.24,Feb 02 BMO,36.27,Drug Manufacturers - Major,0.154206718522,36.23,-0.0148135021468,-0.00112937854852,-0.0136841235983,52.7408013955,90800000000.0,36.23,-0.00192784356926,40.524433327,0.000413907284768,Healthcare,2.0,2018-01-29T20:50:00Z,66096.0,
DAL,33.1827523065,0.0178525641026,-42.8571428571,-150.902330776,55.77,Jan 11 BMO,55.985,Major Airlines,0.606924339651,55.76,0.0545630792959,-0.0493084842669,0.103871563563,36.5129446989,40670000000.0,55.87,-0.0037513397642,44.1872067804,-0.00170342478035,Services,2.0,2018-01-29T20:50:00Z,197900.0,
MT,13.6014798659,0.0262403846154,-35.7142857143,-120.363497954,37.275,Feb 09 BMO,37.28,Steel & Iron,1.0,37.16,-0.00648330986738,-0.0150688304727,0.0085855206053,56.25079823,36410000000.0,37.2,-0.00267558528428,44.7712079879,0.00214621059691,Basic Materials,2.0,2018-01-29T20:50:00Z,72842.0,
AMAT,28.4519116164,0.0258698717949,-28.5714285714,-41.8285871509,55.33,Feb 15 AMC,55.47,Semiconductor Equipment & Materials,1.0,55.035,-0.0877699662216,0.00604546218806,-0.0938154284097,61.8173685399,60080000000.0,55.035,-0.00117339110028,48.0276862267,0.00524127959516,Technology,2.0,2018-01-29T20:50:00Z,581110.0,
