,ADXR,APO,AROONOSC,CCI,Close,Earnings_date,High,Industry,Industry_weight,Low,MACD,MACD_hist,MACD_signal,MFI,Market_cap,Open,ROCP,RSI,Return,Sector,Technical_points,TimeStamp,Volume,0
0,32.8121137869,0.0838967948718,100.0,134.156619947,27.49,Feb 15 AMC,27.49,REIT - Industrial,0.0843680898112,27.46,0.0555484935429,0.0352587673245,0.0202897262184,80.5234079299,4960000000.0,27.48,0.0102903344359,76.7855863136,0.000727537286286,Financial,4.0,2018-01-25T20:50:00Z,25501.0,
1,,,,,,,,,,,,,,,,,,,,,,,,
QDEL,19.2016869397,0.150571794872,100.0,160.881980204,48.6,Feb 07 AMC,48.655,Diagnostic Substances,1.0,48.47,0.108453523597,0.0314473967211,0.077006126876,57.7509382004,1640000000.0,48.53,0.00613202273941,66.4967695273,0.00164609053498,Healthcare,4.0,2018-01-25T20:50:00Z,8901.0,
WEC,24.5661694959,0.192294871795,71.4285714286,82.5973724721,64.14,Jan 31 BMO,64.14,Electric Utilities,0.0422004991681,64.025,0.15242537896,0.020279093075,0.132146285885,76.2484867172,20290000000.0,64.03,0.00674933291477,63.0385734329,0.0017929529155,Utilities,3.0,2018-01-25T20:50:00Z,122947.0,
FL,18.3421464544,0.0601596153846,-50.0,110.325454825,52.45,Feb 16 BMO,52.455,Textile - Apparel Footwear & Accessories,0.0538971557468,52.4,0.0114526397083,0.0187539500436,-0.00730131033525,50.0486422511,6610000000.0,52.4025,0.00286806883365,58.1033466104,0.000953288846521,Consumer Goods,3.0,2018-01-25T20:50:00Z,90030.0,
DAR,16.9328791633,0.00323717948719,64.2857142857,106.739526412,19.21,Feb 27 AMC,19.22,Waste Management,0.0353400222965,19.2,0.00961544211701,0.00376197266937,0.00585346944765,66.3338944907,3170000000.0,19.205,0.0023480302635,60.9325361932,0.000260281103592,Industrial Goods,3.0,2018-01-25T20:50:00Z,61758.0,
TJX,10.0974842382,0.0421538461538,100.0,191.221917227,79.31,Feb 13 BMO,79.35,Department Stores,0.707830746746,79.23,0.0382500602995,0.0315655920806,0.00668446821892,64.1136336526,49380000000.0,79.26,0.00354295837024,60.4616665219,0.000630437523641,Services,4.0,2018-01-25T20:50:00Z,69177.0,
TRP,45.0528779574,-0.149058333333,-14.2857142857,-102.946206088,46.85,Feb 15 BMO,46.855,Oil & Gas Pipelines,0.114788089906,46.76,-0.159250575587,0.0214106437856,-0.180661219372,69.1794077875,41520000000.0,46.76,-0.00212992545261,33.313640874,0.00192102454642,Basic Materials,3.0,2018-01-25T20:50:00Z,32800.0,
TDOC,18.7722184242,0.0378532051282,100.0,159.433109307,35.35,Feb 28 AMC,35.35,Healthcare Information Services,0.0552411748855,35.25,0.0545969417272,0.0200435799461,0.0345533617811,84.9727856049,2050000000.0,35.275,0.00283687943262,61.0350584499,0.001414427157,Technology,4.0,2018-01-25T20:50:00Z,19884.0,
