,ADXR,APO,AROONOSC,CCI,Close,Earnings_date,High,Industry,Industry_weight,Low,MACD,MACD_hist,MACD_signal,MFI,Market_cap,Open,ROCP,RSI,Return,Sector,Technical_points,TimeStamp,Volume
LNC,20.6446429544,0.172267307692,100.0,103.192488263,83.16,Jan 31 AMC,83.31,Life Insurance,0.037144027382,83.11,0.0603864529936,0.0181828243606,0.042203628633,53.7363613925,17840000000.0,83.11,0.000300715703374,56.0323373538,0.000601250601251,Financial,4.0,2018-01-19T19:50:00Z,4703.0
SPLP,45.4188559679,-0.0583153846154,42.8571428571,60.8730947647,20.45,Feb 06 AMC,20.45,Conglomerates,0.0318285763936,20.45,-0.00965679442792,0.0241193655529,-0.0337761599808,37.7644332672,516510000.0,20.45,0.00245098039216,58.619769268,0.0,Conglomerates,3.0,2018-01-19T20:00:00Z,0.0
ACHN,28.9046062215,0.0271230769231,100.0,75.7616465164,2.98,Jan 31 AMC,2.98,Biotechnology,0.000557641815557,2.97,0.0171000831255,0.00223363205152,0.014866451074,94.9258873545,422300000.0,2.975,0.0101694915254,70.704210669,0.0,Healthcare,4.0,2018-01-19T19:40:00Z,14946.0
TGS,35.7889120023,0.102558974359,85.7142857143,111.214024716,23.308,Feb 06 AMC,23.41,Gas Utilities,0.0130518728751,23.308,-0.0139203402798,0.0467799955443,-0.0607003358241,16.847604385,1710000000.0,23.41,0.0104828710407,53.8428983769,-0.00308906813111,Utilities,4.0,2018-01-19T19:50:00Z,6180.0
ENR,37.0883192548,0.0119871794872,100.0,112.30028733,54.02,Feb 07 BMO,54.23,Personal Products,0.00404537236592,54.02,-0.0912575530144,0.0505616652877,-0.141819218302,74.9290969863,3050000000.0,54.125,0.00139030494022,46.241090431,-0.00185116623473,Consumer Goods,4.0,2018-01-19T19:50:00Z,11559.0
BCC,29.1954813786,0.198083333333,100.0,126.070725278,42.975,Jan 30 BMO,43.0257,"Lumber, Wood Production",0.0392673112396,42.975,0.189582411658,0.00204307024109,0.187539341417,79.4382064205,1600000000.0,43.025,0.00291715285881,68.155073976,-0.00116346713205,Industrial Goods,4.0,2018-01-19T19:50:00Z,1719.0
DISCA,20.9747580989,0.0673647435897,100.0,151.369112815,25.675,Feb 01 BMO,25.7393,CATV Systems,0.02845962291,25.665,0.0509839492111,0.00553663113753,0.0454473180736,84.644621053,8000000000.0,25.715,0.00305115072528,57.6283889882,-0.00155793573515,Services,4.0,2018-01-19T19:50:00Z,22237.0
GNE,25.529286567,0.0512032051282,100.0,104.700508267,4.74,Feb 01 BMO,4.74,Independent Oil & Gas,0.000159233420358,4.74,0.0535276421625,0.0104062465821,0.0431213955804,29.2063213698,109500000.0,4.74,0.0326797385621,77.7697265661,0.000210970464135,Basic Materials,4.0,2018-01-19T19:50:00Z,650.0
GRUB,29.1691021937,0.349707692308,100.0,169.499456491,70.49,Feb 07 BMO,70.5,Internet Information Providers,0.00253020651935,70.19,0.160811583682,0.086319813681,0.0744917700006,82.2097573401,5980000000.0,70.26,0.00945152513246,74.7201429503,0.00340473826075,Technology,4.0,2018-01-19T20:00:00Z,15672.0
