,ADXR,APO,AROONOSC,CCI,Close,Earnings_date,High,Industry,Industry_weight,Low,MACD,MACD_hist,MACD_signal,MFI,Market_cap,Open,ROCP,RSI,Return,Sector,Technical_points,TimeStamp,Volume
AIV,22.2028958008,0.0505051282051,71.4285714286,170.84670309,42.26,Feb 01 AMC,42.33,REIT - Residential,1.0,42.23,0.0465818782011,0.0340742677053,0.0125076104958,69.029145175,6610000000.0,42.3,0.00726969371946,65.5448400806,-0.000946521533365,Financial,4.0,2018-01-25T20:50:00Z,18500.0
ATI,25.022101646,-0.167071794872,-35.7142857143,74.7421161214,28.17,Jan 23 BMO,28.18,Metal Fabrication,1.0,28.1,-0.0819763324829,0.0473918503727,-0.129368182856,69.6363827831,3140000000.0,28.115,0.00715051841259,52.2938083542,0.00177493787717,Industrial Goods,4.0,2018-01-25T20:50:00Z,72933.0
AVP,17.2131511445,-0.0016608974359,100.0,141.407678245,2.35,Feb 15 BMO,2.35,Personal Products,1.0,2.34,-0.000180499476186,0.00408173772619,-0.00426223720238,89.9137122202,1050000000.0,2.35,0.0042735042735,57.6375690237,0.00425531914894,Consumer Goods,3.0,2018-01-25T20:50:00Z,43055.0
ABBV,24.9179922715,0.121646153846,50.0,238.628527352,108.31,Jan 26 BMO,108.37,Drug Manufacturers - Major,0.478041307308,107.7575,0.279181776762,0.0660646932357,0.213117083526,72.4215289425,1.685e+11,108.05,0.0100718082626,74.6136182388,0.00258517219093,Healthcare,3.0,2018-01-25T20:50:00Z,176733.0
AEO,26.9252766045,0.03595,57.1428571429,174.18176869,18.34,Dec 06 BMO,18.34,Apparel Stores,0.678800856531,18.28,0.0289648634124,0.0255538187897,0.00341104462277,77.7048331288,3170000000.0,18.285,0.0107467621934,66.7440355903,0.00327153762268,Services,4.0,2018-01-25T20:50:00Z,94348.0
AG,39.0928362051,-0.166962179487,-100.0,-107.944544302,6.505,Feb 21 AMC,6.53,Silver,1.0,6.5,-0.115400386117,-0.0229943067571,-0.0924060793596,7.810924572,1180000000.0,6.525,-0.0391432791728,19.5878239372,-0.00230591852421,Basic Materials,3.0,2018-01-25T20:50:00Z,452621.0
ADI,39.6500401758,-0.659588461538,-100.0,-164.693054749,91.97,Feb 20 BMO,92.11,Semiconductor - Integrated Circuits,1.0,91.93,-0.592766941564,-0.050302046825,-0.542464894739,9.02691396641,35550000000.0,92.01,-0.0113941739224,16.1964749029,-0.00065238664782,Technology,3.0,2018-01-25T20:50:00Z,209529.0
