,ADXR,APO,AROONOSC,CCI,Close,Earnings_date,High,Industry,Industry_weight,Low,MACD,MACD_hist,MACD_signal,MFI,Market_cap,Open,ROCP,RSI,Return,Sector,Technical_points,TimeStamp,Volume
CS,44.6319066758,0.0128974358974,64.2857142857,132.42221576,19.97,Feb 13 BMO,19.97,Foreign Money Center Banks,1.0,19.95,0.0266502391453,-0.00380948301755,0.0304597221628,48.1853762849,49490000000.0,19.96,0.000751691305437,71.493469314,0.000250375563345,Financial,3,2018-01-26T20:50:00Z,60721.0
ATI,8.93017792853,-0.0114243589743,-57.1428571429,-126.735459662,28.51,Jan 23 BMO,28.53,Metal Fabrication,1.0,28.49,0.00858660681307,-0.0136501591457,0.0222367659588,24.4899539982,3140000000.0,28.51,-0.00175070028011,47.6571983532,0.0,Industrial Goods,1,2018-01-26T20:50:00Z,29470.0
AEE,25.3418309346,0.105869230769,78.5714285714,132.779371845,56.91,Feb 16 BMO,56.92,Electric Utilities,0.248490393413,56.82,0.0876774060538,0.0258532521714,0.0618241538824,79.7299922413,13580000000.0,56.91,0.00494437577256,67.0502003437,0.0,Utilities,4,2018-01-26T20:50:00Z,70465.0
FCAU,22.4628169749,0.0377641025641,85.7142857143,124.896325486,24.81,Jan 25 BMO,24.82,Auto Manufacturers - Major,1.0,24.78,0.0508781521274,3.01165764379e-06,0.0508751404697,69.4347691102,37130000000.0,24.81,0.00440871054326,64.6974169423,0.0,Consumer Goods,4,2018-01-26T20:50:00Z,157283.0
ABT,17.8418188574,0.0548064102564,64.2857142857,108.667333392,63.42,Jan 24 BMO,63.435,Medical Appliances & Equipment,1.0,63.28,0.0972445400336,0.0595146984737,0.0377298415599,88.5545822142,1.07e+11,63.3075,0.0117252931323,67.0318290276,0.0018133081047,Healthcare,4,2018-01-26T20:50:00Z,221629.0
LUV,22.9089499188,0.039525,85.7142857143,170.11746211,60.82,Jan 25 BMO,60.82,Regional Airlines,0.839854413103,60.74,0.048328293715,0.0161407769014,0.0321875168136,69.2413123865,36920000000.0,60.77,0.00247239162683,59.5226004051,0.000932259125288,Services,4,2018-01-26T20:50:00Z,126951.0
AMRS,17.2367997617,0.0154185897436,7.14285714286,57.1220167247,5.2,Feb 13 AMC,5.21,Specialty Chemicals,0.0163057839193,5.15,0.0144293467309,0.00673977300516,0.00768957372578,72.858057315,209190000.0,5.19,0.015625,59.0613899645,0.00384615384615,Basic Materials,3,2018-01-26T20:50:00Z,38536.0
GOOG,21.3770521778,1.6533724359,100.0,253.647381925,1175.59,Feb 01 AMC,1175.59,Internet Information Providers,0.495778611632,1172.63,1.00550928696,0.41877885769,0.586730429269,83.5227190084,7.9275e+11,1172.63,0.00352123196169,68.6855531759,0.0026539865089,Technology,4,2018-01-26T20:50:00Z,90033.0
