,ADXR,APO,AROONOSC,CCI,Close,Earnings_date,High,Industry,Industry_weight,Low,MACD,MACD_hist,MACD_signal,MFI,Market_cap,Open,ROCP,RSI,Return,Sector,Technical_points,TimeStamp,Volume,0
0,51.7690691373,-0.314753846154,-100.0,-104.747717671,98.065,Feb 07 AMC,98.245,Property & Casualty Insurance,0.383400896096,98.0137,-0.298726775417,0.0079101067378,-0.306636882155,18.4578862885,35940000000.0,98.15,-0.00451730788752,28.8456171869,-0.000662825676847,Financial,3.0,2018-01-29T20:50:00Z,37668.0,
1,,,,,,,,,,,,,,,,,,,,,,,,
ADM,17.0348095107,0.00209615384616,-71.4285714286,-175.864003154,43.11,Feb 06 BMO,43.22,Farm Products,1.0,43.11,-0.0317287045735,-0.0235339583026,-0.0081947462709,37.8446379955,23680000000.0,43.15,-0.00679645202166,31.7027421602,-0.000927858965437,Consumer Goods,2.0,2018-01-29T20:50:00Z,82933.0,
NVS,26.9168032504,0.0709243589744,21.4285714286,-49.9691330805,92.99,Jan 24 BMO,93.07,Drug Manufacturers - Major,0.401379029245,92.97,-0.0224667934959,0.0036961759239,-0.0261629694198,74.9079675996,2.3634e+11,92.99,-0.00171765968867,44.8035416492,0.0,Healthcare,2.0,2018-01-29T20:50:00Z,24387.0,
RAD,25.4185935021,0.000294871794871,0.0,-353.535353535,2.23,Jan 03 AMC,2.24,Drug Stores,0.0300751879699,2.22,0.000966962432923,-0.00103589614458,0.0020028585775,23.3753641112,2360000000.0,2.235,-0.00446428571429,41.8798933157,-0.00448430493274,Services,2.0,2018-01-29T20:50:00Z,568888.0,
APC,22.9021380838,0.0160679487179,-50.0,-148.553992506,60.97,Feb 06 AMC,61.095,Independent Oil & Gas,0.644210526316,60.925,-0.109931534731,-0.03766059098,-0.0722709437514,49.9472281396,33660000000.0,60.925,-0.00732660371215,34.7652571948,0.000820075446941,Basic Materials,2.0,2018-01-29T20:50:00Z,143771.0,
ATVI,16.9360629192,0.00726282051284,50.0,147.061946903,72.45,Feb 08 AMC,72.67,Multimedia & Graphics Software,0.596653005464,72.36,0.0558155950915,0.00218179032244,0.0536338047691,70.6650283708,52410000000.0,72.36,0.00152059717998,56.4096041885,0.00148378191856,Technology,3.0,2018-01-29T20:50:00Z,194372.0,
