,ADXR,APO,AROONOSC,CCI,Close,Earnings_date,High,Industry,Industry_weight,Low,MACD,MACD_hist,MACD_signal,MFI,Market_cap,Open,ROCP,RSI,Return,Sector,Technical_points,TimeStamp,Volume
BK,29.4343641682,0.331462179487,100.0,110.014313443,56.88,Jan 18 BMO,56.92,Asset Management,0.121690087014,56.81,0.250948998946,0.0185645110774,0.232384487869,94.2284476622,57260000000.0,56.81,0.0070821529745,76.0749711975,0.00114275668073,Financial,4.0,2018-01-19T19:50:00Z,140033.0
PICO,12.9772833261,0.0088141025641,50.0,76.6307958018,13.125,Feb 06 BMO,13.125,Conglomerates,0.0177608028657,13.125,0.0148667488358,0.0040548783112,0.0108118705246,27.4860650887,288220000.0,13.125,0.0038240917782,67.9991455885,0.0,Conglomerates,3.0,2018-01-19T20:00:00Z,300.0
ASND,28.1711442333,0.0910961538461,85.7142857143,336.770284654,51.33,Feb 15 AMC,51.33,Biotechnology,0.00216559928371,50.95,0.136593044341,0.00592427836735,0.130668765973,13.14993218,1640000000.0,50.95,0.00953482334616,80.3306063348,0.00681862458601,Healthcare,4.0,2018-01-19T19:50:00Z,2000.0
ELP,22.9442331326,0.0297115384615,100.0,161.664553842,7.2,Dec 07 AMC,7.2,Electric Utilities,0.00318701714404,7.18,0.0231400200133,0.00369738844089,0.0194426315724,74.7550793315,1830000000.0,7.18,0.00558659217877,73.7684126324,0.00138888888889,Utilities,4.0,2018-01-19T19:50:00Z,4100.0
CAG,27.1830727849,0.0081448717949,100.0,125.447417933,37.645,Dec 21 BMO,37.68,Processed & Packaged Goods,0.103765495159,37.64,0.0407770729995,0.00545238684629,0.0353246861532,60.7092067748,15230000000.0,37.64,0.00359904025593,61.6254916917,0.000265639527162,Consumer Goods,4.0,2018-01-19T19:50:00Z,23338.0
RYI,24.1870942856,0.0831025641026,100.0,168.613138686,12.55,Feb 06 AMC,12.55,Metal Fabrication,0.0114190275028,12.55,0.0423385551834,0.0107158870238,0.0316226681595,50.8635428865,394220000.0,12.55,0.0060120240481,64.3483457464,0.0,Industrial Goods,4.0,2018-01-19T19:50:00Z,200.0
BOOT,28.0778606482,0.175388461538,100.0,107.339802834,18.23,Feb 01 AMC,18.34,Apparel Stores,0.00558684159981,18.22,0.145675424635,0.0286077819064,0.117067642729,94.6576849136,480520000.0,18.25,0.0192899077439,74.3506392649,-0.00109709270433,Services,4.0,2018-01-19T19:50:00Z,17019.0
MPC,17.0540194207,0.169901923077,100.0,112.867502875,71.9,Jan 31 BMO,72.03,Oil & Gas Refining & Marketing,0.17694013158,71.885,0.0968419266438,0.0469934563798,0.049848470264,76.3465507506,33380000000.0,71.985,0.00385766163993,63.2495429599,-0.00139082058414,Basic Materials,4.0,2018-01-19T19:50:00Z,13418.0
AUO,18.5522462509,0.00486025641026,100.0,157.981373186,4.58,Feb 13 BMO,4.58,Semiconductor - Broad Line,0.00691481154729,4.56,0.00777135729163,0.000302345005101,0.00746901228653,79.0196133851,3960000000.0,4.565,0.00548847420417,63.5372757932,0.00327510917031,Technology,4.0,2018-01-19T19:50:00Z,8311.0
