,ADXR,APO,AROONOSC,CCI,Close,Earnings_date,High,Industry,Industry_weight,Low,MACD,MACD_hist,MACD_signal,MFI,Market_cap,Open,ROCP,RSI,Return,Sector,Technical_points,TimeStamp,Volume,0
0,31.8974296664,-0.311072435897,0.0,80.5547803437,100.51,Feb 07 AMC,100.5225,Property & Casualty Insurance,1.0,100.425,-0.130428036292,0.0172812990458,-0.147709335338,81.9119684655,35940000000.0,100.47,0.00274355265127,46.2226913851,0.000397970351209,Financial,2,2018-01-26T20:50:00Z,57673.0,
1,,,,,,,,,,,,,,,,,,,,,,,,
AEP,12.2856723406,0.0491185897436,78.5714285714,-31.7465792802,68.77,Jan 25 BMO,68.8,Electric Utilities,0.616651418115,68.59,-0.00844115571638,0.0193542084585,-0.0277953641749,37.5786205639,33700000000.0,68.78,0.000363662811841,50.801320925,7.27061218554e-05,Utilities,4,2018-01-26T20:50:00Z,174930.0,
ADM,22.0695299018,0.093491025641,57.1428571429,32.6582306731,43.58,Feb 06 BMO,43.61,Farm Products,1.0,43.5601,0.0981798208893,-0.011752719556,0.109932540445,68.6963419079,23680000000.0,43.58,0.00181605020574,62.2710783718,0.000114731528224,Consumer Goods,2,2018-01-26T20:50:00Z,136309.0,
ACHN,18.6434526246,-0.0105455128205,35.7142857143,77.7777777778,2.845,Feb 22 AMC,2.88,Biotechnology,0.0203899361707,2.84,-0.00286727767081,0.00236049306738,-0.00522777073819,16.1161673392,389020000.0,2.8799,0.00176056338028,47.4291976005,-0.0105448154657,Healthcare,3,2018-01-26T20:50:00Z,119837.0,
SAVE,37.1167087085,0.0602493589744,42.8571428571,171.356757046,41.4899,Feb 06 BMO,41.49,Major Airlines,0.041070406411,41.3986,0.117555814306,0.00333374177658,0.114222072529,68.5912474488,2870000000.0,41.41,0.00338573974786,67.8682430024,0.00204628114312,Services,3,2018-01-26T20:50:00Z,23968.0,
AU,9.86272399961,-0.0147051282051,64.2857142857,116.741693462,11.71,-,11.72,Gold,1.0,11.68,-0.00465358870503,0.00705476034703,-0.0117083490521,80.9858942722,4820000000.0,11.685,0.00299785867238,55.351954704,0.00170794192997,Basic Materials,3,2018-01-26T20:50:00Z,75161.0,
GOOGL,13.3950266279,1.89474615385,100.0,243.79001567,1187.21,Feb 01 AMC,1187.21,Internet Information Providers,0.504221388368,1184.065,1.33411720174,0.412567345512,0.921549856227,87.8676281305,8.0625e+11,1184.17,0.00384725956742,71.4623168408,0.00273329907935,Technology,4,2018-01-26T20:50:00Z,91309.0,
