,ADXR,APO,AROONOSC,CCI,Close,Earnings_date,High,Industry,Industry_weight,Low,MACD,MACD_hist,MACD_signal,MFI,Market_cap,Open,ROCP,RSI,Return,Sector,Technical_points,TimeStamp,Volume
WU,50.2472419531,0.081858974359,100.0,90.4964007823,21.16,Feb 13 AMC,21.175,Credit Services,0.0116940368278,21.12,0.0647655367673,0.00323450811206,0.0615310286552,56.7061506951,9530000000.0,21.155,0.00403321470937,79.0414821023,0.00023629489603,Financial,4.0,2018-01-26T20:50:00Z,177185.0
ETN,31.9799547826,0.127669871795,100.0,132.728734523,86.49,Feb 01 BMO,86.51,Diversified Machinery,0.0543564946777,86.355,0.18031711279,0.0236509089019,0.156666203888,88.461896738,37940000000.0,86.46,0.00534697198652,76.6600266444,0.000404671060238,Industrial Goods,4.0,2018-01-26T20:50:00Z,83327.0
AES,43.8803775395,0.0351192307692,78.5714285714,106.4160751,11.725,Feb 26 BMO,11.73,Electric Utilities,0.017161086015,11.7,0.0403144326765,0.00558714241434,0.0347272902622,63.4105707867,7370000000.0,11.7225,0.00643776824034,71.0469462783,0.0,Utilities,3.0,2018-01-26T20:50:00Z,468718.0
PG,28.5778842133,0.0233487179486,100.0,203.29789518,87.7,Jan 23 BMO,87.72,Personal Products,0.330293923624,87.55,-0.0188459002325,0.0382816450799,-0.0571275453124,71.7457117295,2.2531e+11,87.59,0.00245756415385,57.2635628362,0.00131128848347,Consumer Goods,4.0,2018-01-26T20:50:00Z,240950.0
ADMS,14.2260397722,0.289287179487,100.0,133.974871755,41.74,Feb 27 AMC,41.74,Drugs - Generic,0.00611188488276,41.565,0.177306206547,0.0637202478968,0.11358595865,83.41444776,905600000.0,41.57,0.0169326349129,67.2586127622,0.004072831816,Healthcare,4.0,2018-01-26T20:50:00Z,30587.0
WMT,35.4865107118,0.177911538461,100.0,236.608346081,108.38,Feb 15 BMO,108.4099,"Discount, Variety Stores",0.632171678645,108.2125,0.231175330548,0.0445422778763,0.186633052672,88.0581184882,3.1491e+11,108.25,0.00710212357491,76.6917530684,0.00129175124562,Services,4.0,2018-01-26T20:50:00Z,165859.0
EQT,17.8505436205,0.00377948717951,100.0,145.293456126,58.72,Feb 15 BMO,58.73,Independent Oil & Gas,0.0239607225556,58.575,0.00810874063355,0.0144610879959,-0.00635234736233,69.8269450784,15850000000.0,58.59,0.00221880867042,56.0971166913,0.00204359673025,Basic Materials,4.0,2018-01-26T20:50:00Z,79792.0
FB,22.6545322823,0.648790384615,100.0,136.436861368,189.92,Jan 31 AMC,189.94,Internet Information Providers,0.225833320564,189.62,0.474379323087,0.13230835552,0.342070967567,95.0272530156,5.403e+11,189.655,0.00796093832926,83.7513999004,0.00147430497051,Technology,4.0,2018-01-26T20:50:00Z,797939.0
