,ADXR,APO,AROONOSC,CCI,Close,Earnings_date,High,Industry,Industry_weight,Low,MACD,MACD_hist,MACD_signal,MFI,Market_cap,Open,ROCP,RSI,Return,Sector,Technical_points,TimeStamp,Volume,0
0,15.1959602659,0.0339948717949,100.0,137.004678547,20.795,Feb 13 AMC,20.81,Credit Services,0.0118534462788,20.77,0.0278446066887,0.00349802913645,0.0243465775523,82.3811640958,9530000000.0,20.775,0.0026518804243,63.1219612381,0.00120221207021,Financial,4.0,2018-01-25T20:50:00Z,184299.0,
1,,,,,,,,,,,,,,,,,,,,,,,,
THC,15.1237685838,0.0569096153846,100.0,105.958768709,18.44,Feb 27 BMO,18.5,Hospitals,0.0531707489986,18.41,0.0536236321774,0.00621144883044,0.047412183347,83.2925637777,1860000000.0,18.435,0.00655021834061,66.3419399251,0.000542299349241,Healthcare,4.0,2018-01-25T20:50:00Z,69415.0,
EXC,20.7628811649,0.0760371794872,50.0,102.245132431,38.68,Feb 07 BMO,38.74,Diversified Utilities,0.290762124711,38.66,0.0806089577928,0.0296060345798,0.051002923213,69.9036165274,37770000000.0,38.66,0.0101854270044,62.2705669118,0.000517063081696,Utilities,3.0,2018-01-25T20:50:00Z,205560.0,
ELY,41.4312579335,0.0226564102564,100.0,208.727948004,15.25,Feb 01 AMC,15.26,Sporting Goods,1.0,15.24,0.0542691654165,-0.00962160515984,0.0638907705763,72.0601634961,1380000000.0,15.24,0.00197109067017,70.2164355606,0.000327868852459,Consumer Goods,3.0,2018-01-25T20:50:00Z,33776.0,
SRCL,30.9877202551,-0.0275685897436,71.4285714286,134.101586027,70.48,Feb 14 AMC,70.5,Waste Management,0.0666666666667,70.41,-0.00289558933652,0.0244525010115,-0.0273480903481,80.4564903948,5980000000.0,70.41,0.00413164268414,56.1047381513,0.000993189557321,Industrial Goods,3.0,2018-01-25T20:50:00Z,15689.0,
CNK,49.726138686,0.138322435897,100.0,210.760173436,36.17,Feb 22 BMO,36.195,"Movie Production, Theaters",0.438356164384,36.15,0.190948090393,0.0175504796302,0.173397610763,85.2879288395,4160000000.0,36.17,0.0116067682842,84.7617476576,0.000276472214543,Services,4.0,2018-01-25T20:50:00Z,87971.0,
ENLK,15.8976302049,0.00420128205129,35.7142857143,106.075801432,18.29,Feb 14 AMC,18.33,Independent Oil & Gas,0.00945089014779,18.265,0.00862136373062,0.0198779851783,-0.0112566214477,73.363215819,6260000000.0,18.28,0.00549752611325,58.2243533832,0.000820120284308,Basic Materials,3.0,2018-01-25T20:50:00Z,17459.0,
EGHT,22.6518660713,0.0997833333333,100.0,241.6151971,16.125,Jan 25 AMC,16.195,Diversified Communication Services,0.0221402214022,15.8224,0.0539436800302,0.025531960279,0.0284117197512,74.1877980724,1440000000.0,15.85,0.0178896071104,67.6902572535,0.015503875969,Technology,4.0,2018-01-25T20:50:00Z,60855.0,
