,ADXR,APO,AROONOSC,CCI,Close,Earnings_date,High,Industry,Industry_weight,Low,MACD,MACD_hist,MACD_signal,MFI,Market_cap,Open,ROCP,RSI,Return,Sector,Technical_points,TimeStamp,Volume,0
0,23.2094920762,-0.0951921987179,71.4285714286,87.6712960913,19.51,Feb 01,19.58,Foreign Regional Banks,1.0,19.450001,0.15250659722,0.0958811809459,0.0566254162741,59.6503015006,40180000000.0,19.549999,0.0511854014647,58.575985177,-0.00666319835982,Financial,2.0,2018-01-26,2380200.0,
1,,,,,,,,,,,,,,,,,,,,,,,,
AAPL,15.0873104826,1.56608928205,-35.7142857143,-150.914590356,171.509995,Feb 01 AMC,172.0,Electronic Equipment,1.0,170.059998,0.339801430103,-0.591621394587,0.93142282469,45.3764434225,8.9851e+11,172.0,-0.0215084665764,41.7918724,0.00233219061082,Consumer Goods,2.0,2018-01-26,37687500.0,
FOLD,31.6747172844,0.814230903846,71.4285714286,63.5350162688,16.200001,Feb 28 BMO,16.389999,Biotechnology,0.0182799325464,15.91,0.609508370976,0.0229162084901,0.586592162486,59.2933594528,2710000000.0,16.01,0.0207940138626,58.4100869573,0.0154321595412,Healthcare,3.0,2018-01-26,3373800.0,
ANF,23.9083126692,1.16884604487,64.2857142857,87.9135963738,22.209999,Feb 16 BMO,22.48,Apparel Stores,1.0,21.290001,1.30279511199,0.251007336024,1.05178777597,68.8234954281,1500000000.0,21.66,0.164046069182,67.5581014779,0.0315172909283,Services,3.0,2018-01-26,1887000.0,
MT,37.8032980721,1.68346142308,100.0,97.248142751,37.310001,Feb 09 BMO,37.5,Steel & Iron,1.0,36.830002,1.24409416393,-0.0984141637291,1.34250832766,70.2405325651,36410000000.0,36.849998,0.0119338761034,69.8730675612,0.0155454565654,Basic Materials,3.0,2018-01-26,2353200.0,
ADSK,31.7678325755,4.28480867308,85.7142857143,102.156939307,117.779999,Feb 27 AMC,118.849998,Technical & System Software,1.0,117.120003,1.65260230741,0.869681724113,0.782920583302,58.6983200784,25670000000.0,117.550003,0.0399081486861,61.9796723532,0.00772623541965,Technology,4.0,2018-01-26,1810800.0,
