,ADXR,APO,AROONOSC,CCI,Close,Earnings_date,High,Industry,Industry_weight,Low,MACD,MACD_hist,MACD_signal,MFI,Market_cap,Open,ROCP,RSI,Return,Sector,Technical_points,TimeStamp,Volume,0
0,24.9922555903,1.28448698077,100.0,125.242124291,64.260002,Feb 08 AMC,65.050003,Property & Casualty Insurance,0.616599103904,64.220001,1.06782070403,0.406723616864,0.661097087169,81.9783177197,57800000000.0,64.639999,0.0539609799252,70.5111134738,-0.00653591638544,Financial,4.0,2018-01-29,4179300.0,
1,,,,,,,,,,,,,,,,,,,,,,,,
MO,25.9181550058,-0.378012814103,42.8571428571,-21.6175112059,69.830002,Jan 31 BMO,70.82,Cigarettes,1.0,69.800003,0.233875315886,-0.121862393787,0.355737709673,53.3758969472,1.3704e+11,70.68,0.00316047977072,46.9128516474,-0.0170413141331,Consumer Goods,2.0,2018-01-29,5192800.0,
AET,46.7701168741,3.66674552564,92.8571428571,133.334075892,193.740005,Jan 30 BMO,194.399994,Health Care Plans,1.0,192.559998,3.37436183223,0.708420662197,2.66594117003,79.2397241848,62690000000.0,192.960007,0.0517915752192,82.0666381053,0.00330339105752,Healthcare,4.0,2018-01-29,1329800.0,
ANF,30.2754663997,1.31032036538,64.2857142857,73.5615159464,21.870001,Feb 16 BMO,22.440001,Apparel Stores,1.0,21.68,1.30639403821,0.197655497076,1.10873854114,68.5444925148,1500000000.0,22.049999,0.145026230366,65.2433948991,-0.0155463184478,Services,3.0,2018-01-29,1624400.0,
MT,36.4074033359,1.59487180769,100.0,109.252343601,37.27,Feb 09 BMO,37.5,Steel & Iron,1.0,37.150002,1.23265614845,-0.09174118611,1.32439733456,69.7405931707,36410000000.0,37.459999,0.0029601722282,69.1876541842,-0.00107327609337,Basic Materials,3.0,2018-01-29,1966900.0,
AMD,21.7651362657,0.712243589744,92.8571428571,148.754113775,13.32,Jan 30 AMC,13.47,Semiconductor - Broad Line,0.102722353737,13.05,0.510278872409,0.0764807710329,0.433798101376,66.0303150463,12150000000.0,13.13,0.108153078203,69.2322026838,0.0277777777778,Technology,4.0,2018-01-29,66102700.0,
