,ADXR,APO,AROONOSC,CCI,Close,Earnings_date,High,Industry,Industry_weight,Low,MACD,MACD_hist,MACD_signal,MFI,Market_cap,Open,ROCP,RSI,Return,Sector,Technical_points,TimeStamp,Volume
JPM,14.2736611694,0.133244871795,100.0,150.762820356,116.12,Jan 12 BMO,116.18,Money Center Banks,0.277604134324,115.88,0.120515921028,0.0303729731432,0.0901429478852,76.5974427203,4.0234e+11,115.94,0.00297991794429,70.8881882767,0.00155012056493,Financial,4.0,2018-01-26T20:50:00Z,292987.0
ITW,48.3195527915,0.578165384615,100.0,104.540351488,178.86,Jan 24 BMO,178.895,Diversified Machinery,0.085976100306,178.59,0.590073431177,0.027100335691,0.562973095486,100.0,60010000000.0,178.76,0.00601833623938,80.6062554824,0.00050318685005,Industrial Goods,4.0,2018-01-26T20:50:00Z,62487.0
NEE,43.9098123698,0.567666666667,100.0,134.368616808,157.68,Jan 26 BMO,157.88,Electric Utilities,0.168374237414,157.31,0.615442705391,0.0757576554579,0.539685049933,71.0228430042,72310000000.0,157.785,0.0067679734389,71.4411238714,-0.00101471334348,Utilities,5.0,2018-01-26T20:50:00Z,82713.0
KHC,36.0270265823,0.115928205128,100.0,260.171615384,79.39,Feb 14 AMC,79.51,Food - Major Diversified,0.932329375422,78.96,0.0251110554724,0.0779859048122,-0.0528748493398,76.4736860085,96580000000.0,78.98,0.0072061099693,66.998692516,0.00541629928203,Consumer Goods,4.0,2018-01-26T20:50:00Z,235720.0
HOLX,28.5998422299,0.109387820513,100.0,183.420097807,43.38,Feb 08 AMC,43.45,Medical Appliances & Equipment,0.031479630779,43.35,0.10386701085,0.0297239612692,0.0741430495806,81.9745012695,11930000000.0,43.4,0.00789962825279,72.7849573146,0.0,Healthcare,4.0,2018-01-26T20:50:00Z,133791.0
KMX,45.7941308476,0.197106410256,100.0,140.738991893,72.41,Dec 21 BMO,72.41,Auto Dealerships,1.0,72.34,0.179723942205,0.0329550327882,0.146768909417,68.9879800854,12930000000.0,72.37,0.00569444444444,77.5200284788,0.000690512360171,Services,4.0,2018-01-26T20:50:00Z,34233.0
RSPP,29.1126232125,0.203969871795,100.0,99.1996360102,41.95,Feb 26 AMC,41.98,Oil & Gas Drilling & Exploration,0.044128982083,41.92,0.167728212542,0.0127100516602,0.155018160882,85.9777064776,6430000000.0,41.935,0.00406893250359,71.8522971294,0.000238379022646,Basic Materials,4.0,2018-01-26T20:50:00Z,51066.0
OLED,21.9854632941,0.847260897436,100.0,124.001080899,170.456,Feb 22 AMC,170.75,Semiconductor Equipment & Materials,0.0572072098841,170.15,0.768262257585,0.159189469051,0.609072788534,72.4854039934,7990000000.0,170.15,0.00514258723853,62.0280069712,0.0026458440888,Technology,4.0,2018-01-26T20:50:00Z,81007.0
