,ADXR,APO,AROONOSC,CCI,Close,Earnings_date,High,Industry,Industry_weight,Low,MACD,MACD_hist,MACD_signal,MFI,Market_cap,Open,ROCP,RSI,Return,Sector,Technical_points,TimeStamp,Volume
BX,20.0417228696,0.0689551282051,100.0,146.192204776,36.12,Feb 01 BMO,36.18,Asset Management,0.165395560615,36.015,0.0297062253225,0.0405961888638,-0.0108899635413,72.2924847648,43590000000.0,36.09,0.00726446269468,61.5733789544,0.00110741971207,Financial,4.0,2018-01-30T20:50:00Z,191026.0
DOV,26.5437508568,1.39042628205,100.0,95.0967561773,107.08,Jan 30 BMO,107.42,Diversified Machinery,0.0232096788028,107.05,1.01584720681,0.248548970724,0.767298236087,79.7406635502,16200000000.0,107.36,0.0219507539607,76.068221505,-0.00261486738887,Industrial Goods,4.0,2018-01-30T20:50:00Z,112127.0
DYN,25.5657862931,0.00103333333334,100.0,81.9937906828,12.31,Feb 22 AMC,12.38,Electric Utilities,0.00372560890421,12.31,-0.0161568642049,0.0111288971273,-0.0272857613321,41.4939227873,1600000000.0,12.35,0.000406338886632,44.1137277482,-0.00324939073924,Utilities,4.0,2018-01-30T20:50:00Z,69010.0
CL,25.7851920774,0.172875641026,100.0,128.989814186,74.68,Jan 26 BMO,74.755,Personal Products,0.0998167558455,74.56,0.183987824361,0.0419152603564,0.142072564004,72.7937419137,68090000000.0,74.645,0.00789526958634,70.0245645459,0.000468666309588,Consumer Goods,4.0,2018-01-30T20:50:00Z,216871.0
BSPM,21.9172582477,0.0153564102564,100.0,255.289874837,3.03,Nov 20 AMC,3.1,Drug Manufacturers - Major,3.76992918022e-06,2.8101,0.0338245928264,0.0327173241212,0.00110726870514,88.9840273978,6490000.0,2.8394,0.122305355952,73.0325683893,0.0561056105611,Healthcare,4.0,2018-01-30T20:50:00Z,136481.0
KTOS,31.8582034482,0.166112179487,100.0,133.55899431,12.01,Feb 26 AMC,12.07,Security & Protection Services,0.953241435333,12.0,0.141549083533,0.0625858690151,0.0789632145183,99.0294164194,1150000000.0,12.0281,0.044347826087,83.7363053734,-0.00124895920067,Services,4.0,2018-01-30T20:50:00Z,338518.0
BBG,25.631799856,0.0533269230769,100.0,72.4137931035,5.065,Jan 30 AMC,5.08,Oil & Gas Drilling & Exploration,0.00274944833625,5.06,0.0254702404451,0.0119105802611,0.0135596601841,57.4090322248,400620000.0,5.07,0.0160481444333,61.8907101998,-0.00296150049358,Basic Materials,4.0,2018-01-30T20:50:00Z,73411.0
TTMI,18.7017728188,0.0315,100.0,81.6332008119,17.0,Feb 07 AMC,17.01,Printed Circuit Boards,0.0942028985507,16.97,0.0201129372661,0.00812406874077,0.0119888685253,27.0619421259,1690000000.0,17.0,0.0026540843409,59.666818426,0.0,Technology,4.0,2018-01-30T20:50:00Z,87920.0
