,ADXR,APO,AROONOSC,CCI,Close,Earnings_date,High,Industry,Industry_weight,Low,MACD,MACD_hist,MACD_signal,MFI,Market_cap,Open,ROCP,RSI,Return,Sector,Technical_points,TimeStamp,Volume
BRX,31.1205753573,0.0695782051282,100.0,109.915423993,16.6,Feb 12 AMC,16.62,REIT - Retail,0.0667801413393,16.58,0.0321470981397,0.00915444812697,0.0229926500128,87.5722613644,5180000000.0,16.6001,0.00302114803625,64.8557929914,0.0,Financial,4.0,2018-01-29T20:50:00Z,297153.0
CCCL,17.8723594717,0.0186846153846,50.0,-0.694289469115,2.38,Oct 11 BMO,2.38,General Building Materials,0.000372043176247,2.38,0.0110375777607,0.00482141031225,0.00621616744843,41.7068566949,13150000.0,2.38,0.0115606936416,51.1373567848,-0.00542016806723,Industrial Goods,3.0,2018-01-29T20:50:00Z,300.0
CLNE,33.92405153,0.00767884615385,42.8571428571,55.9697868897,1.685,Feb 01 AMC,1.69,Gas Utilities,0.00682645582151,1.68,-0.000224986633484,0.00156651981746,-0.00179150645094,81.9600080626,254040000.0,1.6848,0.00297619047619,52.0582558425,0.0,Utilities,3.0,2018-01-29T20:50:00Z,42709.0
VUZI,30.4497783887,0.196812179487,78.5714285714,113.892640668,9.35,Feb 08 BMO,9.45,Electronic Equipment,0.000267428734734,9.2,0.106763303505,0.0522320982811,0.0545312052242,80.4152220464,240830000.0,9.25,0.0505617977528,67.750627177,0.0142139037433,Consumer Goods,3.0,2018-01-29T20:50:00Z,57441.0
CLDX,18.5369648271,0.0133224358974,100.0,172.171197649,2.845,Feb 06 AMC,2.85,Biotechnology,0.000633055463295,2.84,0.00271020099711,0.00219738253758,0.000512818459528,80.7857140198,378000000.0,2.84,0.00352733686067,57.6910591081,0.00175746924429,Healthcare,4.0,2018-01-29T20:50:00Z,34476.0
BBBY,29.2285484298,0.152875641026,100.0,104.778271039,22.7,Dec 20 AMC,22.76,Home Furnishing Stores,0.426718547341,22.68,0.112463380043,0.0197217293318,0.0927416507112,85.1792157249,3290000000.0,22.68,0.00956193017567,72.0191450825,0.0011013215859,Services,4.0,2018-01-29T20:50:00Z,220446.0
NOG,20.3487930495,0.0223666666667,92.8571428571,110.800688329,2.29,Feb 28 AMC,2.3,Oil & Gas Drilling & Exploration,0.00118317830655,2.28,0.0127343856013,0.00702896397968,0.00570542162163,77.1727847268,172400000.0,2.3,0.0280583613917,61.4022421179,0.00436681222707,Basic Materials,4.0,2018-01-29T20:50:00Z,30690.0
CSIQ,12.1916765637,0.00221666666667,92.8571428571,208.628342535,16.021,Feb 08 BMO,16.075,Semiconductor - Specialized,0.00591233549903,15.94,-0.000840270423561,0.0051031645981,-0.00594343502166,64.524211648,925320000.0,15.94,0.00539692500784,60.9318573354,0.00568004494101,Technology,4.0,2018-01-29T20:50:00Z,39078.0
