,ADXR,APO,AROONOSC,CCI,Close,Earnings_date,High,Industry,Industry_weight,Low,MACD,MACD_hist,MACD_signal,MFI,Market_cap,Open,ROCP,RSI,Return,Sector,Technical_points,TimeStamp,Volume
LADR,24.2217421235,0.0397,100.0,147.308706086,14.81,Feb 22 AMC,14.82,REIT - Diversified,0.0141048517291,14.765,0.0155359769894,0.00597356223042,0.009562414759,67.4290604178,1660000000.0,14.77,0.00338753387534,64.1454165999,0.00303848750844,Financial,4.0,2018-01-29T20:50:00Z,73960.0
BLDP,53.6053573833,0.148908974359,100.0,146.366267053,4.025,Feb 28 AMC,4.04,Industrial Electrical Equipment,0.0115391463431,3.96,0.122731976751,0.0005278657348,0.122204111017,84.5420623321,681140000.0,3.965,0.0427461139896,78.9765279458,0.0161242236025,Industrial Goods,4.0,2018-01-29T20:50:00Z,586138.0
DUK,38.7133442886,0.0340038461539,57.1428571429,-29.4844638658,77.29,Feb 15 BMO,77.4956,Electric Utilities,0.129464909421,77.29,-0.0596243168918,0.0201106690804,-0.0797349859722,38.4735130029,55600000000.0,77.4,0.000258832664682,39.1152506818,-0.00142321128218,Utilities,4.0,2018-01-29T20:50:00Z,105178.0
CLX,28.7221764905,0.239102564103,100.0,195.806371745,140.94,Feb 02 BMO,141.33,Housewares & Accessories,0.607280927835,140.94,-0.0285119302688,0.0880566681163,-0.116568598385,78.9141173424,18850000000.0,141.01,0.00028388928318,53.1729832101,-0.000425713069391,Consumer Goods,4.0,2018-01-29T20:50:00Z,37043.0
EGLT,21.1571719292,0.0112461538462,100.0,115.662831792,0.9788,Feb 07 BMO,0.98,Biotechnology,6.33222938286e-05,0.9749,0.00750937621999,0.00350033202431,0.00400904419568,94.7652559964,37810000.0,0.98,0.0328162920756,71.5572359203,-0.0012259910094,Healthcare,4.0,2018-01-29T20:50:00Z,28422.0
IMAX,22.2413424992,0.0862474358975,100.0,187.66846214,19.55,Feb 22 BMO,19.625,Entertainment - Diversified,0.00235365985123,19.525,0.0673815269971,0.0171713020727,0.0502102249245,82.8776377516,1310000000.0,19.525,0.00773195876289,71.999589375,0.00127877237852,Services,4.0,2018-01-29T20:50:00Z,17303.0
EC,22.2872627981,0.0806108974359,92.8571428571,72.4357664369,19.55,Nov 07 AMC,19.565,Major Integrated Oil & Gas,0.0448070790992,19.46,0.0199353371365,0.00810889727475,0.0118264398618,52.1484202334,40610000000.0,19.46,0.00128040973111,61.7185717291,0.00460358056266,Basic Materials,4.0,2018-01-29T20:50:00Z,26871.0
APDN,19.4823059032,0.0127884615385,92.8571428571,135.60271059,1.55,Dec 28 AMC,1.557,Security Software & Services,0.0012082158679,1.55,0.00376142428144,0.00531677457582,-0.00155535029439,89.0190363333,40500000.0,1.557,0.0196697585685,63.9555684085,0.0,Technology,4.0,2018-01-29T20:50:00Z,3100.0
