,ADXR,APO,AROONOSC,CCI,Close,Earnings_date,High,Industry,Industry_weight,Low,MACD,MACD_hist,MACD_signal,MFI,Market_cap,Open,ROCP,RSI,Return,Sector,Technical_points,TimeStamp,Volume
SLM,22.3255030539,0.0158743589744,100.0,97.0214039814,11.395,Jan 17 AMC,11.42,Credit Services,0.00664838374302,11.39,0.0162454822041,0.0040777036658,0.0121677785383,74.3273690305,5050000000.0,11.41,0.00840707964602,55.6772356549,-0.000877577885037,Financial,4.0,2018-01-24T20:40:00Z,87844.0
EVHC,26.9567532489,0.186783333333,100.0,161.269064846,35.98,Feb 07 AMC,36.025,Long-Term Care Facilities,0.709302325581,35.88,0.0508337726952,0.0538176836022,-0.002983910907,90.9487545422,4270000000.0,35.89,0.00756090730888,64.3680440317,0.00250138966092,Healthcare,4.0,2018-01-24T20:50:00Z,142196.0
PEG,19.1734935566,0.0802884615384,28.5714285714,148.861064153,50.48,Jan 30 BMO,50.52,Diversified Utilities,0.194290616957,50.395,0.0119067262341,0.0116715639906,0.000235162243546,79.8897380892,24910000000.0,50.395,0.000793021411578,58.4353178764,0.00178288431062,Utilities,3.0,2018-01-24T20:40:00Z,133603.0
ELY,21.5651155071,0.078308974359,100.0,158.852364475,14.63,Feb 01 AMC,14.63,Sporting Goods,1.0,14.57,0.0365043747241,0.0144360315958,0.0220683431283,54.1997547355,1270000000.0,14.575,0.00931355639876,67.3205059926,0.0041011619959,Consumer Goods,4.0,2018-01-24T20:40:00Z,27843.0
TEX,21.3246769456,0.107517948718,100.0,104.531012571,49.12,Jan 30 AMC,49.17,Farm & Construction Machinery,0.0232077205882,49.0375,0.000764742436111,0.0326006955744,-0.0318359531383,46.4158445996,4040000000.0,49.1,0.00285830951409,54.7860572014,0.000407166123778,Industrial Goods,4.0,2018-01-24T20:40:00Z,14629.0
WYNN,27.7595186392,0.868901923077,100.0,171.218901951,200.56,Jan 25 AMC,201.86,Resorts & Casinos,0.0848941368078,200.421,0.769145320265,0.180437823517,0.588707496748,88.2107254916,16680000000.0,201.0,0.00865017099175,64.412758375,-0.00228111288393,Services,4.0,2018-01-24T20:50:00Z,175392.0
DVN,11.9855947349,0.144624358974,100.0,148.992218395,44.625,Jan 30 AMC,44.64,Independent Oil & Gas,0.034584010655,44.48,0.0502597487381,0.0230191150226,0.0272406337156,79.4705248549,22420000000.0,44.49,0.00552050473186,62.5167253809,0.00291316526611,Basic Materials,4.0,2018-01-24T20:40:00Z,77835.0
MRVL,34.710126878,0.0783961538462,100.0,94.4311072861,23.29,Nov 28 AMC,23.35,Semiconductor - Integrated Circuits,0.0375718224191,23.26,0.015519529525,0.0346380064728,-0.0191184769478,82.2086865418,11570000000.0,23.31,0.0108506944444,57.1546505536,-0.00107342206956,Technology,4.0,2018-01-24T20:50:00Z,467225.0
